GENE	ANOVA P
Gene1	0.003528386
Gene2	0.009181198
Gene3	0.016561323
Gene4	0.009795326
Gene5	0.002827814
Gene6	0.022473492
Gene7	0.014334114
Gene8	0.000146468
Gene9	0.022901409
Gene10	0.000204264
Gene11	0.001613508
Gene12	0.002288302
Gene13	0.009426316
Gene14	0.005527278
Gene15	0.008804799
Gene16	0.003024233
Gene17	0.003408915
Gene18	0.000242182
Gene19	0.000821822
Gene20	0.018887292
Gene21	0.003098515
Gene22	0.015542573
Gene23	0.001365727
Gene24	0.008138024
Gene25	0.018980447
Gene26	0.000816478
Gene27	0.004395326
Gene28	0.000316612
Gene29	0.006607983
Gene30	0.016420582
Gene31	0.004282234
Gene32	0.012241581
Gene33	0.012917959
Gene34	0.000906243
Gene35	0.002078568
Gene36	0.013757905
Gene37	0.003132129
Gene38	0.000214308
Gene39	0.011561368
Gene40	0.000714142
Gene41	0.00030511
Gene42	0.014999866
Gene43	0.011582146
Gene44	0.000324833
Gene45	0.000600237
Gene46	0.000393704
Gene47	0.004925299
Gene48	0.001216475
Gene49	0.012116731
Gene50	0.003332631
Gene51	0.001020456
Gene52	0.000352232
Gene53	0.020005302
Gene54	0.000988295
Gene55	0.000268814
Gene56	0.000142271
Gene57	0.001179463
Gene58	0.002314878
Gene59	0.002259902
Gene60	0.001290563
Gene61	0.007942485
Gene62	0.006009332
Gene63	0.005408668
Gene64	0.002303482
Gene65	0.001380214
Gene66	0.006442991
Gene67	0.004134058
Gene68	0.02011431
Gene69	0.019129247
Gene70	0.021531262
Gene71	0.007335889
Gene72	0.008149218
Gene73	0.000652874
Gene74	0.001868146
Gene75	0.001996452
Gene76	0.008589362
Gene77	0.00022762
Gene78	0.012625578
Gene79	0.010506763
Gene80	0.007861182
Gene81	0.00229797
Gene82	0.009119581
Gene83	0.001947887
Gene84	1.137500598
Gene85	0.013711221
Gene86	0.014060594
Gene87	0.002541051
Gene88	0.002178835
Gene89	0.013767378
Gene90	0.001537834
Gene91	0.003544547
Gene92	0.000564853
Gene93	0.002897863
Gene94	0.002172528
Gene95	0.0029353
Gene96	0.013873256
Gene97	0.004889998
Gene98	0.00234988
Gene99	0.001015632
Gene100	0.000620806
Gene101	0.009397657
Gene102	0.001883981
Gene103	0.018924966
Gene104	0.000771407
Gene105	0.007077186
Gene106	0.009167629
Gene107	0.002961351
Gene108	0.002015901
Gene109	0.023872887
Gene110	0.022092642
Gene111	0.024248076
Gene112	0.002485802
Gene113	0.001406584
Gene114	0.006976967
Gene115	0.003663809
Gene116	0.004742929
Gene117	0.004373457
Gene118	0.001236803
Gene119	0.009691655
Gene120	0.004345575
Gene121	0.015332269
Gene122	0.014830858
Gene123	0.007823978
Gene124	0.004075112
Gene125	0.002511624
Gene126	0.01226862
Gene127	0.021300459
Gene128	0.000976195
Gene129	4.376478106
Gene130	0.000484197
Gene131	0.000439167
Gene132	0.001291049
Gene133	0.003989875
Gene134	0.001866283
Gene135	0.001196532
Gene136	0.000136272
Gene137	0.009945993
Gene138	0.000391534
Gene139	0.000770398
Gene140	0.012498907
Gene141	0.001407207
Gene142	0.002347107
Gene143	0.009028785
Gene144	0.013345283
Gene145	0.000206573
Gene146	0.001289362
Gene147	0.003067313
Gene148	0.000529617
Gene149	0.007230831
Gene150	0.000536492
Gene151	0.017398538
Gene152	0.00254141
Gene153	0.001362139
Gene154	0.001004766
Gene155	0.006305489
Gene156	0.014501124
