	Gene	X0h.a	X0h.b	X2h.a	X2h.b	X8h.a	X8h.b	X16h.a	X16h.b
3114	Gene3114	13808245.09	14427991.68	18105653.22	14922598.41	10940143.27	11424479.2	8733707.176	8898876.52
1261	Gene1261	3637668.438	3773058.884	4422771.197	3478034.137	4602003.437	4431084.697	5737107.151	5834276.383
12510	Gene12510	4529554.238	4449958.801	3156255.137	4283765.882	4078711.369	4088480.357	5006919.842	4398960.89
12332	Gene12332	3110127.664	3029805.98	2191345.298	2747702.648	2298114.611	2439464.488	2124575.759	2218766.176
766	Gene766	1348205.925	1380279.976	2082778.175	1740773.176	1508297.095	1516603.352	1044013.321	1015585.059
12797	Gene12797	1537294.455	1533527.64	1603427.91	1506956.817	1396678.446	1412587.568	1227415.669	1310321.632
9864	Gene9864	1375767.378	1364715.085	1481162.381	1342070.203	1566866.213	1518927.458	1440324.136	1421208.097
328	Gene328	1570011.279	1498215.786	2286683.526	2033780.818	1199979.433	1245523.984	766926.697	857344.1511
9862	Gene9862	1557935.257	1515551.718	896072.8228	1264726.938	1341916.356	1426971.878	1741227.19	1507223.268
3269	Gene3269	1544495.084	1501365.451	1427094.996	1449251.444	1344342.096	1340588.005	1201023.879	1169677.241
3376	Gene3376	1599051.74	1554972.767	1550866.098	1378607.38	1300501.26	1349896.075	1060749.991	1130206.676
4235	Gene4235	1374887.893	1394446.205	1413704.401	1321012.858	1265670.874	1288076.699	1147889.32	1172329.119
11167	Gene11167	1217221.472	1207523.147	1188266.105	1155137.539	1303582.387	1256814.665	1426012.69	1451037.053
8320	Gene8320	1343764.824	1373255.115	1381138.404	1391491.548	1205024.035	1231236.689	1150604.606	1090195.664
767	Gene767	1066095.831	1087442.779	1559551.505	1837306.597	1184906.293	1186224.337	1016262.392	1039999.969
10198	Gene10198	1222942.652	1149598.624	1028818.924	1022350.848	1361268.967	1382520.679	1342981.785	1231674.651
6848	Gene6848	971416.642	1033778.697	1295279.686	976269.4919	1238601.199	1166135.805	1467980.946	1491408.248
12994	Gene12994	1293016.832	1271376.533	976497.3096	1110412.146	1196614.877	1216643.091	1178577.459	1215589.881
13351	Gene13351	1210637.839	1199713.724	871541.0718	1224674.312	1126008.53	1127072.789	1096864.059	1122883.518
1260	Gene1260	861639.8368	836295.6618	656109.7726	689306.9146	986568.0964	965303.7171	1746143.642	1855135.075
3417	Gene3417	1020956.476	1109139.073	949677.6922	1238554.924	1115278.051	1181678.927	979039.1149	1001613.899
9391	Gene9391	1141573.672	1126692.089	1244253.692	1063390.466	996329.1478	1056858.019	807928.9464	828282.3824
2795	Gene2795	1276059.065	1221858.125	1184000.521	1081017.841	855428.3344	904177.1438	737508.4361	743790.651
11879	Gene11879	969677.7413	984443.8858	1097128.943	899089.5835	966417.2524	961784.7775	900846.6602	920211.6032
3109	Gene3109	1149903.68	1141605.351	1031403.758	959186.3768	867252.5273	946803.8564	698058.9236	721611.6752
11964	Gene11964	1042594.516	900492.6039	1111119.063	913976.2636	894303.4559	916213.1616	742873.3797	852548.6029
13668	Gene13668	940717.8606	990612.1417	931178.2554	1025740.859	833177.3641	879386.7812	812072.3408	741640.9955
1265	Gene1265	657460.5561	639440.3927	798520.1726	661268.3854	991902.4323	824997.4276	1264234.563	1227118.048
680	Gene680	635556.5791	617855.0445	1136040.967	1406415.529	1095280.877	870614.9479	442447.2649	488213.094
