Gene	a.0	a.2	a.8	a.16	b.0	b.2	b.8	b.16
Gene3114	13808245.09	18105653.22	10940143.27	8733707.176	14427991.68	14922598.41	11424479.2	8898876.52
Gene1261	3637668.438	4422771.197	4602003.437	5737107.151	3773058.884	3478034.137	4431084.697	5834276.383
Gene12510	4529554.238	3156255.137	4078711.369	5006919.842	4449958.801	4283765.882	4088480.357	4398960.89
Gene12332	3110127.664	2191345.298	2298114.611	2124575.759	3029805.98	2747702.648	2439464.488	2218766.176
Gene766	1348205.925	2082778.175	1508297.095	1044013.321	1380279.976	1740773.176	1516603.352	1015585.059
Gene12797	1537294.455	1603427.91	1396678.446	1227415.669	1533527.64	1506956.817	1412587.568	1310321.632
Gene9864	1375767.378	1481162.381	1566866.213	1440324.136	1364715.085	1342070.203	1518927.458	1421208.097
Gene328	1570011.279	2286683.526	1199979.433	766926.697	1498215.786	2033780.818	1245523.984	857344.1511
Gene9862	1557935.257	896072.8228	1341916.356	1741227.19	1515551.718	1264726.938	1426971.878	1507223.268
Gene3269	1544495.084	1427094.996	1344342.096	1201023.879	1501365.451	1449251.444	1340588.005	1169677.241
Gene3376	1599051.74	1550866.098	1300501.26	1060749.991	1554972.767	1378607.38	1349896.075	1130206.676
Gene4235	1374887.893	1413704.401	1265670.874	1147889.32	1394446.205	1321012.858	1288076.699	1172329.119
Gene11167	1217221.472	1188266.105	1303582.387	1426012.69	1207523.147	1155137.539	1256814.665	1451037.053
Gene8320	1343764.824	1381138.404	1205024.035	1150604.606	1373255.115	1391491.548	1231236.689	1090195.664
Gene767	1066095.831	1559551.505	1184906.293	1016262.392	1087442.779	1837306.597	1186224.337	1039999.969
Gene10198	1222942.652	1028818.924	1361268.967	1342981.785	1149598.624	1022350.848	1382520.679	1231674.651
Gene6848	971416.642	1295279.686	1238601.199	1467980.946	1033778.697	976269.4919	1166135.805	1491408.248
Gene12994	1293016.832	976497.3096	1196614.877	1178577.459	1271376.533	1110412.146	1216643.091	1215589.881
Gene13351	1210637.839	871541.0718	1126008.53	1096864.059	1199713.724	1224674.312	1127072.789	1122883.518
Gene1260	861639.8368	656109.7726	986568.0964	1746143.642	836295.6618	689306.9146	965303.7171	1855135.075
Gene3417	1020956.476	949677.6922	1115278.051	979039.1149	1109139.073	1238554.924	1181678.927	1001613.899
Gene9391	1141573.672	1244253.692	996329.1478	807928.9464	1126692.089	1063390.466	1056858.019	828282.3824
Gene2795	1276059.065	1184000.521	855428.3344	737508.4361	1221858.125	1081017.841	904177.1438	743790.651
Gene11879	969677.7413	1097128.943	966417.2524	900846.6602	984443.8858	899089.5835	961784.7775	920211.6032
Gene3109	1149903.68	1031403.758	867252.5273	698058.9236	1141605.351	959186.3768	946803.8564	721611.6752
Gene11964	1042594.516	1111119.063	894303.4559	742873.3797	900492.6039	913976.2636	916213.1616	852548.6029
