	logFC	AveExpr	t	P.Value	adj.P.Val	B
Gene8723	0.469715444224497	6.54110786542854	4.79021041217527	0.0011402906964455	0.999988671207323	-3.45477540727091
Gene7956	0.590727339855687	5.39535279886476	3.7974809021964	0.00465127852988283	0.999988671207323	-3.70775066669086
Gene7953	0.507936115644028	5.47465748035299	3.36271644464689	0.0089886619568587	0.999988671207323	-3.81437806800004
Gene6056	-0.343311492978233	4.15840323673913	-3.32815872630931	0.00948136541440721	0.999988671207323	-3.95412637679205
Gene8157	0.380274648227301	5.6272440572854	2.65433058644205	0.0274497147366298	0.999988671207323	-4.02723631948355
Gene8162	0.24270090887888	5.61632362383077	2.64787450969208	0.0277348938261585	0.999988671207323	-4.0298987423315
Gene7905	0.285811398589443	4.31708370891341	2.92863424671601	0.017729594599476	0.999988671207323	-4.03138207276169
Gene8159	0.367143467318192	6.52306535179129	2.57177525953149	0.0313316023207961	0.999988671207323	-4.04040409641657
Gene3455	1.02610016440135	3.94049008214946	3.32925198150908	0.00946535262235207	0.999988671207323	-4.04449614020138
Gene5360	0.449086594354051	5.51103018384242	2.60289964208321	0.0298067111529653	0.999988671207323	-4.04957059086354
Gene6234	0.279218451335447	5.30848142186185	2.61900705642772	0.0290472612090053	0.999988671207323	-4.05244132550473
Gene6047	-0.326769836599866	4.11893614586846	-2.92345790619536	0.0178756415150514	0.999988671207323	-4.05776180024908
Gene10796	-0.440905118497059	4.93774144026859	-2.65593162261729	0.027379455271269	0.999988671207323	-4.0590790855935
Gene12882	0.40988564555871	4.30294890530718	2.76797769505048	0.0228905189749615	0.999988671207323	-4.07821184483223
Gene9240	0.46944755837782	4.58561595705694	2.63978295658569	0.0280965659063489	0.999988671207323	-4.08957312451258
Gene4645	0.531040406498077	3.64056738671885	3.22747100449899	0.0110847483079089	0.999988671207323	-4.10299466588676
Gene5183	-0.251848306955668	6.74463516176961	-2.40448440249188	0.0409804936315348	0.999988671207323	-4.10447294367615
Gene12285	-0.287293750966448	4.49573008386639	-2.57699729875171	0.031070357174974	0.999988671207323	-4.11457750401363
Gene6918	-0.317188789638255	5.23303097656814	-2.44150289373058	0.0386161061022685	0.999988671207323	-4.11624511713796
Gene8017	-0.37101858256281	3.9923290655789	-2.76329288162662	0.023062255178209	0.999988671207323	-4.1186699130569
Gene11731	-0.28582587243455	4.33456012658222	-2.57984742929527	0.0309287019890137	0.999988671207323	-4.12803191618772
Gene13571	0.732746202119592	5.20873448860237	2.40749292717544	0.0407830537661218	0.999988671207323	-4.13085008133813
Gene5377	-0.303103573418543	4.3184523862591	-2.54467201505969	0.0327235629558571	0.999988671207323	-4.14006708134877
Gene5356	0.850242858963727	6.2171924619852	2.30808093469701	0.047836894329126	0.999988671207323	-4.14185260198838
Gene12386	0.394541066624657	6.10263563765942	2.29513551689257	0.0488403844688697	0.999988671207323	-4.14410262395156
Gene9409	0.379140666162118	3.55819612705489	3.03807447267353	0.0149138897894926	0.999988671207323	-4.15275203316213
Gene9145	-0.40000385999114	4.4995487502359	-2.44619018124182	0.03832662550934	0.999988671207323	-4.15565800575313
Gene6644	-0.310472301431556	3.70636000070147	-2.81194019099555	0.0213412879195574	0.999988671207323	-4.15933563484746
Gene13324	0.793140800811833	4.44105045218643	2.46362739693824	0.0372686781156187	0.999988671207323	-4.15970330090673
Gene5354	0.779063996033969	5.47318307816719	2.26367825136791	0.0513664190151211	0.999988671207323	-4.17168651678981
Gene12508	0.189465133711781	6.57579926405425	2.19866572531586	0.0570019317831104	0.999988671207323	-4.17999919371109
Gene6861	-0.495820113741443	3.41735864779881	-3.09870327273791	0.0135573827226893	0.999988671207323	-4.18437345536997
Gene12067	-0.315577459388121	6.0047452233776	-2.1919114420071	0.0576211353743101	0.999988671207323	-4.18440556632171
Gene13193	-0.363352699251555	4.05977499773076	-2.47196910339794	0.0367729717767133	0.999988671207323	-4.18753141842465
Gene8046	-0.313966799110886	7.38798634589926	-2.2088838279522	0.0560775644027684	0.999988671207323	-4.19048824436718
Gene3551	0.442445299140524	6.73090418735493	2.17286909905649	0.0594025460322004	0.999988671207323	-4.19254262669037
Gene3379	-0.289297860584515	5.63642602445059	-2.17930077339645	0.05879491529274	0.999988671207323	-4.19815575629636
Gene3214	0.266986372571441	5.02280619972777	2.21579479789712	0.0554607291676248	0.999988671207323	-4.20309171213521
Gene11370	0.667155773361696	3.25697942913086	3.30240047317418	0.00986696632110072	0.999988671207323	-4.20534280425347
Gene11357	0.750575377280725	3.70466199203269	2.69768032213604	0.0256104765939791	0.999988671207323	-4.2081682370625
Gene8946	-0.282222597618102	4.09878760587768	-2.38007467431991	0.0426180825725941	0.999988671207323	-4.20879696110029
Gene10999	0.249004977155471	5.07354820493126	2.16721941638705	0.0599413629821043	0.999988671207323	-4.21851942078491
Gene8080	-0.310431958656768	4.81348756980644	-2.19218037259764	0.0575963554276143	0.999988671207323	-4.22012057214578
Gene7929	-0.278933115474866	4.37673896983952	-2.2669784021617	0.0510954711845851	0.999988671207323	-4.22052328020409
Gene7954	0.479999064881532	4.08077554019055	2.35071349019043	0.0446744201117652	0.999988671207323	-4.2220724424989
Gene5038	0.271735125133751	4.03505378705834	2.33945645517548	0.0454887209380686	0.999988671207323	-4.22683235686918
Gene10807	-0.429062959785389	5.25952678926651	-2.10928948714686	0.0657487921980048	0.999988671207323	-4.23440887712852
Gene13673	0.263742314056098	5.19363560366934	2.08724768589534	0.0680992791136135	0.999988671207323	-4.24395298133071
Gene9476	-0.367652451638607	4.45337852643538	-2.17360065167583	0.0593331243181192	0.999988671207323	-4.24599632452942
Gene5691	1.18641064739828	4.98920101636598	2.11633344479506	0.0650143981547914	0.999988671207323	-4.24647554605502
Gene5945	-0.281819590024436	4.08835087607973	-2.2491851385885	0.052573198996781	0.999988671207323	-4.2482548746868
Gene8514	0.367183610752923	4.41869740747841	2.16755792740565	0.0599089446299652	0.999988671207323	-4.25016708619179
Gene4819	0.340842078810039	3.84388509126067	2.3210640940579	0.0468509896969739	0.999988671207323	-4.25670937705596
Gene9452	0.288325058238591	4.26324058680577	2.15003394007981	0.0616098903844896	0.999988671207323	-4.26536869671888
Gene3988	-0.258563365839035	4.46771206569071	-2.10923813106912	0.0657541760161285	0.999988671207323	-4.26572173457532
